,0,1,2,3,4,5,6,7,8,9,10
0,Marca temporal,Cuando ocurrió? (dia/mes/año | ej: 4/7/2020),Que plataformas ,"Si es Facebook, cual es su nombre?","Si es Telegram o Discod, cual es su usuario? (ej: @NicoSRE o NicoSre#1234)",Que acción se tomó?,Por que razón? (en pocas palabras),Subir pruebas (imagenes),,,
1,8/4/2020 22:36,8/4/2020,Telegram Empleos,*****,*****,Advertido,"Consulto sobre el estado de una oferta de trabajo, no respetando las reglas del grupo EMPLEO.",*****,*****,*****,*****
2,10/4/2020 18:53,10/4/2020,Telegram Empleos,*****,*****,Advertido,"Se advirtió que envio multiples ofertas con el mismo contenido, y se solicito que no lo haga mas!",*****,*****,*****,*****
3,13/04/2020 8:41:24,13/04/2020,Telegram Empleos,*****,*****,Advertido,se elimino link probable bot spam. tener en cuenta,*****,*****,*****,*****
4,14/04/2020 1:26:43,14/04/2020,Telegram Empleos,*****,*****,Advertido,Spam,*****,*****,*****,*****
5,15/04/2020 18:23:32,15/04/2020,Telegram Empleos,*****,*****,Advertido,Porque no tiene contacto directo,*****,*****,*****,*****
6,20/04/2020 22:16:20,20/04/2020,"Telegram General, Telegram Empleos",*****,*****,Eliminado,Spam por privado ofreciendo criptomonedas,*****,*****,*****,*****
7,21/04/2020 15:08:49,21/04/2020,Telegram Empleos,*****,*****,"Silenciado, quitado permisos de ""Enviar mensajes, Enviar multimedia, Incrustar Enlaces, Añadir Usuarios""","Spam del mismo mensaje. Ya tuvo advertencia de esto, que incumplió.",*****,*****,*****,*****
8,22/04/2020 12:13:14,22/04/2020,Telegram Empleos,*****,*****,Suspendido los mensajes por 1 semana,Por no cumplir las reglas y ofrecerse de tester,*****,*****,*****,*****
9,22/04/2020 18:59:51,22/04/2020,Telegram Empleos,*****,*****,Advertido,Por postulacion sin contacto directo,*****,*****,*****,*****
10,30/04/2020 16:19:16,30/04/2020,Telegram Empleos,*****,*****,Advertido,"Oferta de trabajo inapropiada, Dinero Online ",*****,*****,*****,*****
11,30/04/2020 21:12:44,30/04/2020,Telegram Empleos,*****,*****,Suspendido para enviar mensajes por una semana,Por publicar algo en contra de las reglas del grupo,*****,*****,*****,*****
12,4/5/2020 13:42,4/5/2020,Telegram Empleos,*****,*****,Eliminado,"Spam feo, ofreciendo prestamos",*****,*****,*****,*****
13,8/5/2020 20:57,8/5/2020,Telegram Empleos,*****,*****,Advertido,Publicar en Empleos comentarios indebidos,*****,*****,*****,*****
14,13/05/2020 20:33:45,13/05/2020,Telegram Empleos,*****,*****,Advertido,Repetir mensaje de oferta laboral casi diario,*****,*****,*****,*****
15,14/05/2020 16:13:35,14/05/2020,Telegram Empleos,*****,*****,Suspension de mensajes,Poner un mensaje no referido a una oferta laboral,*****,*****,*****,*****
16,19/05/2020 19:59:49,19/05/2020,Telegram Empleos,*****,*****,Advertido,Publicación no apta,*****,*****,*****,*****
17,21/05/2020 16:57:43,21/05/2020,Telegram Empleos,*****,*****,Eliminado,Spammer,*****,*****,*****,*****
18,23/05/2020 3:00:56,23/05/2020,Telegram Empleos,*****,*****,Suspendido una semana sin envio de mensajes,Por poner un hola habiendo visto las reglas del grupo,*****,*****,*****,*****
19,25/05/2020 14:11:20,25/05/2020,Telegram Empleos,*****,*****,Advertido,Realizó una publicación que.no correspondia al grupo,*****,*****,*****,*****
20,29/05/2020 16:04:51,29/05/2020,Telegram Empleos,*****,*****,Silenciado,Mensajes no laborales,*****,*****,*****,*****
21,29/05/2020 16:06:48,29/05/2020,Telegram Empleos,*****,*****,Silenciado,Mensaje que no era oferta laboral,*****,*****,*****,*****
22,30/05/2020 14:29:36,30/05/2020,Telegram General,*****,*****,Advertido,Oferto cuenta de Netflix a quien le escriba por privado,*****,*****,*****,*****
23,30/05/2020 16:38:25,30/05/2020,Telegram Empleos,*****,*****,Advertido,envianuna imágen fuera de las.normas del grupo empleo,*****,*****,*****,*****
24,31/05/2020 0:50:23,26/05/2020,Telegram Empleos,*****,*****,Advertido,respuesta no correspondiente a las reglas del grupo,*****,*****,*****,*****
25,1/6/2020 16:15,1/6/2020,Telegram Empleos,*****,*****,Advertido,"segunda advertencia, mensaje no correspondiente a las reglas de grupo",*****,*****,*****,*****
26,1/6/2020 20:57,1/6/2020,Telegram Empleos,*****,*****,Suspendido 1 semana,Por no ofertar trabajo,*****,*****,*****,*****
27,5/6/2020 18:02,5/6/2020,Telegram Empleos,*****,*****,Advertido,Spam,*****,*****,*****,*****
28,6/6/2020 19:02,6/6/2020,Telegram Empleos,*****,*****,Eliminado,Spam de estafa,*****,*****,*****,*****
29,8/6/2020 15:40,8/6/2020,Telegram Empleos,*****,*****,Eliminado,Ofertas engañosas,*****,*****,*****,*****
30,8/6/2020 17:56,8/6/2020,"Telegram General, Telegram Empleos",*****,*****,Eliminado,Spam por privado,*****,*****,*****,*****
31,10/6/2020 19:33,10/6/2020,Telegram Empleos,*****,*****,Eliminado,Vive en chile,*****,*****,*****,*****
32,11/6/2020 10:00,11/6/2020,Telegram Empleos,*****,*****,Se elimino el mensaje,"Por no cumplir condiciones de empleo, con contacto directo",*****,*****,*****,*****
33,15/06/2020 11:47:22,14/06/2020,Telegram Empleos,*****,*****,Advertido,"Publicar empleos de otros países, no responder msg privado ",*****,*****,*****,*****
34,21/06/2020 22:02:04,20/06/2020,Telegram Empleos,*****,*****,Advertido,oferta de trabajo fuera de Argentina u no cumple los requisitos ,*****,*****,*****,*****
35,22/06/2020 19:00:26,22/06/2020,Telegram Empleos,*****,*****,Eliminado,"Publicacion fuera de lugar, comaprtio una noticia",*****,*****,*****,*****
36,27/06/2020 14:34:46,27/06/2020,Telegram Empleos,*****,*****,Advertido,Consultas en el grupo de empleos,*****,*****,*****,*****
37,29/06/2020 14:15:30,28/06/2020,Telegram Empleos,*****,*****,Eliminado,Copartió un link pornográfico ,*****,*****,*****,*****
38,29/06/2020 15:16:22,29/06/2020,Telegram Empleos,*****,*****,Silenciado,Se equivocó compartiendo un link fuera de las reglas del grupo,*****,*****,*****,*****
39,29/06/2020 18:04:54,29/06/2020,Telegram Empleos,*****,*****,Silenciado,Pregunta fuera de contexto ,*****,*****,*****,*****
40,29/06/2020 18:06:20,29/06/2020,Telegram Empleos,*****,*****,Silenciado,Oferta no relacionada al rubro IT,*****,*****,*****,*****
41,30/06/2020 23:22:29,30/06/2020,Telegram Empleos,*****,*****,Advertido,Comentarios en el grupo de empleos.,*****,*****,*****,*****
42,1/7/2020 3:34,1/7/2020,Telegram Empleos,*****,*****,Eliminado,Escribir haciendose el chistoso,*****,*****,*****,*****
43,2/7/2020 17:42,2/7/2020,"Telegram General, Telegram Empleos",*****,*****,Eliminado,spam en 2 grupos,*****,*****,*****,*****
44,2/7/2020 21:32,2/7/2020,Telegram Empleos,*****,*****,Silenciado,"Comentario de /, supongo que se equivoco",*****,*****,*****,*****
45,8/7/2020 10:10,8/7/2020,Telegram General,*****,*****,Silenciado 1 dia,Postear en Empleos un mensajqe fuera de reglas,*****,*****,*****,*****
46,9/7/2020 11:03,9/7/2020,Telegram Empleos,*****,*****,Silenciado,Se equivocó de grupo para consultas offtopic,*****,*****,*****,*****
47,9/7/2020 11:04,9/7/2020,Telegram Empleos,*****,*****,Advertido,Contesto una consulta offtopic,*****,*****,*****,*****
48,9/7/2020 18:06,9/7/2020,Telegram Empleos,*****,*****,Silenciado,envío mensaje de.voz,*****,*****,*****,*****
49,9/7/2020 21:41,9/7/2020,Telegram Empleos,*****,*****,Advertido,Repost,*****,*****,*****,*****
50,9/7/2020 21:42,9/7/2020,Telegram Empleos,*****,*****,Silenciado,No respetar reglas en empleos,*****,*****,*****,*****
51,12/7/2020 20:29,12/7/2020,Telegram Empleos,*****,*****,Silenciado,público un mensaje de vídeo que no corresponde. silenciado 1 semana,*****,*****,*****,*****
52,13/07/2020 11:03:31,13/07/2020,Telegram Empleos,*****,*****,Silenciado,Pregunta por redes nuestras en empleos! Silenciado 1 semana,*****,*****,*****,*****
53,15/07/2020 20:50:07,15/07/2020,Telegram Empleos,*****,*****,Advertido,Postear empleo sin email directo ,*****,*****,*****,*****
54,16/07/2020 10:30:17,15/07/2020,FB,*****,*****,"Advertido, Activado Aprobacion de Mensajes",Postear contenido autobombo de sus videos no muy relacionados con IT,*****,*****,*****,*****
55,19/07/2020 19:01:30,19/07/2020,Telegram General,*****,*****,Eliminado,"videos y mensajes en idioma ni español, no sé sabe el contenido",*****,*****,*****,*****
56,20/07/2020 16:19:11,20/07/2020,Telegram Empleos,*****,*****,Advertido,Empleo sin formato apropiado,*****,*****,*****,*****
57,21/07/2020 15:19:18,21/07/2020,Telegram Empleos,*****,*****,Advertido,Mensaje sin cumplimiento de reglas,*****,*****,*****,*****
58,21/07/2020 20:15:49,21/07/2020,Telegram Empleos,*****,*****,Advertido,Comentarios en el grupo de empleos,*****,*****,*****,*****
59,21/07/2020 21:16:27,21/07/2020,Telegram Empleos,*****,*****,Silenciado,empleo mal redactado,*****,*****,*****,*****
60,30/07/2020 18:32:34,30/07/2020,Telegram Empleos,*****,*****,Silenciado,mensaje erróneo solicitando trabajo,*****,*****,*****,*****
61,30/07/2020 18:35:08,30/07/2020,Telegram Empleos,*****,*****,Silenciado,mensaje equivocado,*****,*****,*****,*****
62,5/8/2020 17:53,5/8/2020,Telegram Empleos,*****,*****,Eliminado,Video fuera de contexto,*****,*****,*****,*****
63,29/08/2020 20:29:50,29/08/2020,Telegram Empleos,*****,*****,No se encontró al usuario,Publicacion offtopic,*****,*****,*****,*****
64,29/08/2020 20:30:59,29/08/2020,Telegram Empleos,*****,*****,Advertido,Publicacion offtopic,*****,*****,*****,*****
65,12/9/2020 17:09,12/9/2020,Telegram Empleos,*****,*****,Advertido,Posteó su linkedin pidiendo trabajo,*****,*****,*****,*****
66,12/9/2020 17:11,12/9/2020,Telegram Empleos,*****,*****,Silenciado,Reclutadora que posteó su grupo de whatsapp en Empleos,*****,*****,*****,*****
67,18/09/2020 19:06:13,18/09/2020,Telegram Empleos,*****,*****,Advertido,Postear su comunidad en Telegram Empleos,*****,*****,*****,*****
68,21/09/2020 8:17:27,21/09/2020,Telegram Empleos,*****,*****,Eliminado,Spam promocionando servicios financieros por ML,*****,*****,*****,*****
69,23/09/2020 8:43:57,23/09/2020,Telegram Empleos,*****,*****,Advertido,Posteó un portal de empleos en vez de un mail de contacto directo,*****,*****,*****,*****
70,3/10/2020 20:40,3/10/2020,Telegram Empleos,*****,*****,Advertido,No tenia mail directo de contacto ni linkedin,*****,*****,*****,*****
71,7/10/2020 10:57,7/10/2020,Telegram Empleos,*****,*****,Advertido,Posteo una oferta custom sin mail de contacto ni condiciones de contratacion,*****,*****,*****,*****
72,10/10/2020 3:05,8/6/2020,Telegram Empleos,*****,*****,Eliminado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
73,10/10/2020 3:05,21/6/2020,Telegram Empleos,*****,*****,Eliminado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
74,10/10/2020 3:05,22/6/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
75,10/10/2020 3:05,22/6/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
76,10/10/2020 3:05,22/6/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
77,10/10/2020 3:05,17/7/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
78,10/10/2020 3:05,18/7/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
79,10/10/2020 3:05,18/7/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
80,10/10/2020 3:05,23/7/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
81,10/10/2020 3:05,2/8/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
82,10/10/2020 3:05,2/8/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
83,10/10/2020 3:05,12/8/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
84,10/10/2020 3:05,17/8/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
85,10/10/2020 3:05,18/8/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
86,10/10/2020 3:05,30/8/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
87,10/10/2020 3:05,31/8/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
88,10/10/2020 3:05,2/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
89,10/10/2020 3:05,3/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
90,10/10/2020 3:05,4/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
91,10/10/2020 3:05,5/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
92,10/10/2020 3:05,7/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
93,10/10/2020 3:05,12/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
94,10/10/2020 3:05,14/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
95,10/10/2020 3:05,15/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
96,10/10/2020 3:05,18/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
97,10/10/2020 3:05,25/9/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
98,10/10/2020 3:05,1/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
99,10/10/2020 3:05,1/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
100,10/10/2020 3:05,1/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
101,10/10/2020 3:05,2/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
102,10/10/2020 3:05,2/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
103,10/10/2020 3:05,5/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
104,10/10/2020 3:05,6/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
105,10/10/2020 3:05,10/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
106,10/10/2020 3:05,10/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
107,10/10/2020 3:05,10/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
108,10/10/2020 3:05,10/10/2020,Telegram Empleos,*****,*****,Silenciado,"No cuento con pics para mostrar, estoy rellenando la BD con todos los casos retrasados RNHIDALGO",*****,*****,*****,*****
